hole_id,fail_in_1,fail_in_3,fail_in_5,mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,mfcc_14_mean,mfcc_14_std,mfcc_14_min,mfcc_14_max,mfcc_15_mean,mfcc_15_std,mfcc_15_min,mfcc_15_max,mfcc_16_mean,mfcc_16_std,mfcc_16_min,mfcc_16_max,mfcc_17_mean,mfcc_17_std,mfcc_17_min,mfcc_17_max,mfcc_18_mean,mfcc_18_std,mfcc_18_min,mfcc_18_max,mfcc_19_mean,mfcc_19_std,mfcc_19_min,mfcc_19_max,mfcc_20_mean,mfcc_20_std,mfcc_20_min,mfcc_20_max
11,0.0,0.0,1.0,-498.44913,77.40691,-650.69086,-314.942,93.89513,35.263363,-24.566185,157.0889,-54.759132,18.867582,-99.93414,-0.55820704,5.5149117,9.613387,-35.700085,41.834076,-27.311699,7.542405,-56.615593,6.4798374,37.061214,9.608919,6.116234,72.4183,-9.332833,12.682137,-54.9008,22.989582,3.8094187,17.511955,-42.625072,48.677643,-8.122399,12.154554,-46.23522,28.835232,0.009257824,7.329028,-28.943005,37.45556,-17.3939,9.683411,-45.725227,20.000381,7.1179266,6.4837813,-20.848122,31.373035,-21.467232,9.997251,-61.627228,12.748064,-21.782652,7.389875,-48.416786,7.2833014,-7.343795,7.704124,-39.311638,22.143082,-9.5314,7.7326617,-37.30864,27.598324,3.870601,10.401062,-36.575233,31.093063,-0.9013875,10.06523,-34.635212,35.982773,-17.306555,8.136708,-46.310608,9.832714,6.937007,5.999017,-17.425423,32.454254
12,0.0,0.0,1.0,-484.78992,83.267815,-639.8053,-289.70895,84.83759,45.575043,-45.291016,175.96591,-42.405884,19.438116,-97.49749,7.065584,3.0637808,9.766911,-33.627228,38.077423,-23.04567,8.985259,-58.85855,8.490034,32.230846,10.58868,-4.0828366,67.80264,-6.9605713,14.359037,-55.351334,32.072296,0.42251652,18.53328,-43.82148,48.34883,-7.340244,12.409124,-45.209957,36.824837,-3.5026107,7.6514435,-30.866428,24.810915,-14.682377,9.569815,-43.152348,13.546311,4.2251797,7.534825,-24.538012,44.02171,-18.612236,11.082402,-58.568604,11.768324,-20.310911,8.060173,-50.674706,10.84514,-6.0104566,8.060031,-45.53031,20.320837,-10.186256,8.46453,-36.807835,22.241102,3.7673583,11.764783,-40.40922,34.664818,-0.63393193,10.522201,-30.67062,34.098465,-16.824284,8.049358,-44.199455,8.314729,7.173221,6.255093,-23.543184,31.535357
13,0.0,1.0,1.0,-484.41446,86.789734,-642.6739,-295.81985,78.781845,43.1039,-48.147423,153.14447,-45.533833,20.436954,-96.04482,8.253046,3.8813813,9.80888,-40.016685,42.399467,-26.254322,8.64205,-58.28884,7.7504606,34.781773,9.893825,5.030434,77.31265,-9.119784,15.110519,-57.752197,29.835487,4.4406395,17.94186,-40.946625,46.15297,-10.101421,12.458577,-48.48564,24.306274,-0.24781786,6.8769307,-25.459648,34.18528,-14.2097025,10.506029,-50.722656,18.740404,5.039828,7.3809834,-32.552208,34.24863,-20.42433,12.139873,-63.22751,10.943956,-17.416151,8.099752,-50.264812,13.814243,-8.021511,7.4716287,-36.37948,17.625767,-9.992401,8.062177,-38.04819,21.480124,1.671824,11.865363,-37.746063,35.845634,2.627563,9.6582775,-26.099457,36.191418,-19.146357,8.338569,-50.462852,7.3580523,8.309015,6.5913615,-14.353072,35.876938
14,0.0,1.0,1.0,-483.8437,86.439575,-641.9603,-281.92407,80.424286,44.30636,-50.87478,168.74066,-42.87185,19.6817,-95.8833,9.865318,4.3625817,9.852771,-38.201057,47.77311,-23.505861,9.746321,-60.29336,15.306657,31.610382,10.446239,-3.3014312,80.24362,-5.458875,15.10351,-56.597233,32.9038,0.5060892,17.505026,-40.542854,46.493042,-8.579463,12.68885,-46.033028,31.980078,-1.8284688,7.2322264,-28.608715,34.304234,-13.799532,10.051468,-43.551567,19.036104,4.4465194,8.212396,-27.822287,37.60129,-19.01518,12.206578,-58.737495,12.066203,-15.818059,8.096547,-49.10102,14.69907,-6.725577,8.166607,-42.585503,21.150105,-11.322733,8.297953,-37.98637,21.731396,3.697274,11.977482,-36.06977,35.700813,1.4930757,9.814346,-28.411037,37.72219,-18.007738,8.383964,-48.352592,14.634002,7.370633,6.2642226,-21.802137,35.319042
15,1.0,1.0,1.0,-482.4388,96.19799,-644.9625,-272.15994,77.16064,38.34963,-33.55332,152.80719,-44.68327,20.227146,-101.64351,8.711385,6.9563594,10.332649,-34.648304,40.983475,-28.177216,9.792944,-66.645226,10.087405,35.867306,10.55604,-7.864603,73.90807,-7.6594143,15.013815,-53.225067,30.47184,3.260305,18.88356,-42.19625,49.172844,-10.910426,13.208852,-47.080605,30.867012,-0.27623263,6.986696,-25.702784,30.05993,-16.035728,9.628564,-45.07057,21.112091,4.184515,7.8768916,-28.182579,43.238407,-19.579605,11.075914,-59.70448,15.296904,-14.948672,7.8641334,-43.923958,14.868132,-7.238321,7.605351,-37.036827,21.70563,-8.497569,8.264261,-34.27295,23.24959,3.1494188,10.803767,-35.95125,35.58634,1.0954256,8.741579,-33.34119,32.014072,-18.210592,7.380839,-47.585396,9.683844,7.612518,6.714085,-15.427635,38.06301
16,1.0,1.0,1.0,-552.06213,126.705574,-723.19086,-314.48804,106.806145,23.71919,-36.40059,158.57352,-39.462074,27.385912,-100.090614,11.907363,0.64514476,11.137657,-31.136467,33.84459,-27.14348,8.403787,-63.734653,2.444352,32.957165,8.50155,3.1344388,71.110085,2.5139675,16.034761,-51.77989,39.451965,-3.3223948,20.562466,-43.94754,48.397964,-3.0707214,17.983145,-50.814674,35.54136,2.7788837,7.815538,-35.94077,33.322308,-17.69049,8.369576,-49.722687,14.17392,2.3667622,6.706592,-24.618353,25.736217,-19.696438,7.844877,-58.67099,7.756213,-15.006141,6.281423,-43.994164,14.10895,-3.3661296,8.192799,-33.759163,21.28162,-11.858952,6.9527354,-33.673306,20.342495,4.4327645,10.329208,-32.282646,39.627415,-4.9987736,8.707563,-32.334362,31.975101,-15.444824,7.577071,-43.079353,12.837146,8.082479,6.089977,-13.774174,31.548424
1,0.0,0.0,0.0,-512.5996,76.72431,-645.31256,-408.27655,133.73918,18.132221,85.83777,173.4278,-60.769627,28.646503,-117.113495,-2.1776786,8.9577675,9.269883,-27.56808,41.016056,-23.648727,9.953368,-59.920784,9.952412,18.765375,6.704571,-8.035738,43.092,6.480332,6.704321,-21.87642,31.505999,4.197892,15.928977,-37.337692,39.37479,8.8827095,7.2123523,-20.543741,32.281624,6.330201,6.507587,-16.001902,30.376408,-17.047321,7.800747,-48.40855,7.247982,4.262379,6.693826,-20.175049,26.045202,-14.903336,6.9708257,-38.627243,11.941849,-20.302834,6.7253942,-46.01626,3.8941205,-4.4967685,9.021754,-30.30493,22.639717,-14.118614,6.619048,-39.327263,8.153677,-0.4479358,5.594992,-20.368748,20.163933,-6.0836525,9.078508,-35.19898,22.855816,-16.58321,9.119822,-45.405678,11.196507,3.9412043,5.468442,-16.093433,24.597647
2,0.0,0.0,0.0,-510.9794,72.68609,-646.08575,-404.05814,128.8804,19.518555,76.36746,187.12311,-63.977207,24.978947,-121.50891,-8.692751,7.73729,8.907696,-26.553574,43.730667,-28.288738,8.435537,-64.064545,0.20592356,18.759474,6.57622,-9.715747,50.827103,7.0724444,7.1790032,-21.086254,35.379097,2.8298733,16.858503,-39.14953,36.4414,5.343972,7.1140122,-22.068354,32.68585,4.830851,5.754153,-23.730743,25.34273,-20.530329,7.0360556,-46.24944,4.629551,2.994459,6.357638,-21.485477,26.669086,-14.843334,6.2310324,-37.20958,11.208491,-22.054365,6.4916215,-45.955574,4.751659,-5.4086723,8.469725,-30.471527,21.195368,-13.466041,5.858369,-35.50016,8.564212,0.30398676,5.92596,-23.48859,27.132957,-8.193001,8.638756,-36.035515,20.534369,-17.35593,9.293213,-49.171997,8.1674795,4.656131,5.6199846,-15.132746,25.396841
3,0.0,0.0,0.0,-517.9481,68.62764,-644.96625,-405.2389,127.44394,20.367065,49.89431,184.91116,-58.86942,21.777725,-109.17649,-11.764205,9.423245,7.9245224,-33.6613,35.0453,-30.441664,8.608521,-65.5824,-0.4521784,19.568758,7.3903294,-5.7016544,54.304886,7.309186,7.543156,-28.587545,35.876873,4.141358,16.651888,-44.71167,46.022408,3.9495354,7.805911,-28.410482,28.855434,1.8940042,6.171367,-24.020382,27.50711,-18.997038,8.152264,-48.08155,16.605904,4.2301135,6.30891,-20.136993,28.928701,-15.158475,6.0816984,-36.723587,8.926978,-23.266562,7.2041717,-53.36434,5.904187,-6.150097,8.3299675,-34.815594,23.85266,-13.632707,5.8708687,-34.713108,10.48131,1.5363255,6.2533197,-26.011211,28.21463,-7.3539257,8.914872,-37.823647,20.841484,-19.872015,8.65744,-49.78499,5.4464636,3.3786507,5.827658,-17.457706,27.661564
4,0.0,0.0,0.0,-508.0324,62.08442,-647.2585,-426.46722,128.26843,18.811947,78.35483,195.38191,-58.439754,19.259684,-111.252686,-8.893005,9.630857,7.740014,-19.38081,42.09452,-31.157223,8.986428,-59.804195,0.8297746,18.216799,7.029811,-3.9105282,47.52932,8.326059,7.1389227,-22.205315,36.592136,7.187568,16.12765,-38.452396,42.326363,1.6914343,7.871839,-38.31186,28.974897,-1.2713189,6.411756,-23.815231,23.064821,-18.544586,7.500497,-45.944443,6.921646,4.201396,6.2472286,-20.699926,28.177507,-14.006668,5.968284,-39.29231,7.971967,-24.066269,6.9456754,-52.09809,7.073472,-7.14236,8.083033,-34.41435,24.699238,-13.6542225,5.821516,-38.135025,6.74293,3.1236863,6.173611,-20.088078,27.725512,-7.919931,8.606671,-40.036713,24.329487,-22.242659,7.1184115,-44.94606,6.242223,4.2839665,5.657272,-16.794998,24.209217
